question,answer
I am looking for a hotel named alyesbray lodge guest house.,"i have their info, what would you like to know?"
I would like to book a reservation for it. Can you help me with that?,"I sure can. First, I will need to know when you want your stay to begin and how many days you'll be staying. Also, how many people will be staying?"
We will be arriving on Sunday and will stay for 5 nights.,Can you tell me how many guests will be staying in the room?
There will be 8 guests.,Booking was successful. Your reference number is 4UFN3SWC . Will that be all for today?
that is it thank you.,You have a nice day then!
I'm looking for a places to go and see during my upcoming trip to Cambridge.,What area of town would you like?
I would like to go to the south area please.,"On the south side, your options are the cinema, entertainment venues, museums, nightclubs, parks, and a theatre."
"That's a lot of choices, how about nightclubs? Can you get me a couple of phone numbers for good ones? I'm hoping to catch DJ Squalour from Ibiza!",The only nightclub in the south is called the place on 22 sidney street. Phone number is 01223324600. Can I help you with anything else?
"Yes, I would like an expensive hotel with free parking.","I have places that fit that description all over town, except in the north. If area is no concern, I recommend the Gonville in the center of town."
I need a 19:15 taxi to take me to Avalon.,I can definitely help! Where are you departing from?
I will be departing from Primavera.,You car has been booked. It is a black volvo. Can I assist you any further?
Good day. Might you be able to assist me with a taxi going to Corpus Christi leaving sometime after 08:45?,Sure I can do that! Where is the departure site?
I need it to pick me up from gourmet burger kitchen.,The car coming is a White Tesla with contact number is: 07441094025
"I'm looking for a hotel, can you help?","I can, we have 9 hotels, do you have anything else to narrow it down?"
It should be in the centre and be on the expensive side.,I have 2 available hotels. One is the Gonville Hotel located on Gonville Place. The other is University Arms Hotel on Regent Street. Which one would you like to book?
Can you book the one without wifi?,"they both have internet, for what days and how many people should I book?"
Do either of them offer free wifi?,"As previously mentioned, they both have internet available. I don't have specifications about the internet service however. Would you like to book one of these?"
"Yes, please book for two nights beginning on Sunday for one person.",Your booking was successful and the reference number is ELYPAXQZ .
Thank you. I'm also looking for a museum to go to in the same area.,there are 11 all with free entrance. Would you like me to recommend one?
Can you assist me in finding me an Expensive Restaurant in Cambridge where I can dine? The restaurant should be serving British foods.,"sure, i have 6 options for you"
I'd like it to be in Centre.,I would suggest midsummer house restaurant it has great food.
Can you make me a reservation for Saturday please for 3 people?,What time would you like to dine on Saturday?
We will be dining at 16:30. Please book a table for 3 on Saturday and provide the reference number. I also need a hotel in the same area.,"Alright, I have your restaurant booking. Your reference number is: DHDB0H4V . What are you looking for in a hotel, so I can narrow down the choices?"
Something in the same area as the restaurant. It should also be in that same price range.,I've got two expensive hotels in the area. Both have internet and parking. university arms hotel has 4 stars. Does that meet your needs?
"Yes, that should be perfect thank you.","Would you like me to book you a room? If so, i will need how many people and nights you will be staying and on what day."
"I would like a room for three people, just for Saturday night.",The booking was successful I have a reference number and the hotel number for you.
I need a taxi to don pasquale pizzeria.,When would you like to arrive?
I would like to arrive at one o'clock p.m. because I am meeting my husband there when he goes on his lunch break.,"Ok, where are you departing from?"
I will be departing from finches bed and breakfast.,Alright. I have a white honda for you.
I am looking for information in Cambridge. I need a place to dine.,"Sure, do you have a type of food you are wanting?"
Crossover food would be perfect.,"Unfortunately, there aren't any crossover restaurants in Cambridge. Is there something else you'd like to try?"
Is there a gastropub in Centre?,"Yes, I have two that are expensive and one that is moderately priced. Do you have a preference?"
Let's go with the moderately priced option. Can I please have the phone number?,"In the moderate price range, I have one place. It's called the Cow Pizza Kitchen and Bar. It's located on Corn Exchange Street. Do you need a reservation?"
"Not right now, but I am looking for a place to stay. Are there any 5-star accommodations in Cambridge?","I'm sorry, there are no 5-star accommodations anywhere in Cambridge. There are many 4-star options. Would you like to try one of those?"
Do you have one with free parking,Yes the allenbell does.
"I need a hotel with free wifi and free parking, thank you",Allenbell is cheap and has free internet.
I'm looking for something in the moderate price range actually.,Archway House is a moderately priced 4 star hotel in the North. Would you like to make a reservation?
Yes please book the Archway House.,"I'd be happy to book for you. How many people will be staying, what is your arrival day, and how many nights are you staying?"
I will be arriving on tuesday and I need to book the room for four nights for three people.,Ok. I've booked that guesthouse for you. Your reference number is YBT4JRTR . Can I help with anything else?
"Yes, I would also l like to find a splendid, moderately-priced place to dine in the centre. That would be just wonderful if you could help me out with that!",There are several moderately priced restaurant in the centre area. Would you like a certain type of food?
"Hi, I need a moderate price range restaurant in the centre of town.",There are 21 restaurants that are moderately priced in the centre of town. Do you have a food preference?
British or European would be fine. May I book a table for 2 at 16:00 on a Wednesday and get a reference number please?,"The oak bistro is a British restaurant in the centre area, in the moderate price range. Would you like to book this restaurant?"
Yes. The booking should be for 2 on wednesday at 16:00. Could I also get a reference number?,"Alright, you're all booked! Your reference number is YWEKSO7H . Is there anything else I can help you with?"
I'm also looking for a place to visit within the same area as the restaurant. Do you have any recommendations?,"We have parks, boats, museums, and many other interesting things to do. What strikes your fancy?"
"I am traveling to Cambridge and excited about seeing location attractions. Could you help me find a place to go, like a college?",Certainly. I have many available. Is there a particular area you are looking in? I have several in the west and centre.
Can you give me the entrance fee for one of the colleges in the centre?,"Corpus christi is 2 pounds, which is in centre."
I'm also looking for a hotel in the centre. I don't want to stay in a guesthouse. It needs to be a hotel.,"I can book you at the university arms hotel. It has a 4 star rating, free parking and wifi. Does this interest you?"
Yes. That would be great.,What will be the first day you will stay and how long will you be staying?
I don't know if this is possible but can you please get me some information on the alexander bed and breakfast?,"sure, i have their information. what would you like to know?"
"Ah, I just wanted to know it was still open. Could you book me a room?","Sure, what day would you like it for?"
3 nights starting from friday.,A reservation for 1 person?
"No, I would like it for 4 people.",Booking was successful. Reference number is : CRLJAWX3 .
I also need to find an Indian restaurant in the east please.,"There are a few Indian restaurants in the east, do you have a price range you are trying to stick to?"
In the mid-range would be fine.,Rajmahal is a moderately priced Indian restaurant. How many people will be dining?
I need a place to eat that is expensive.,I've found 57 restaurants that match your request. Is there a particular area you'd like to dine in?
"In the centre, please.","There are 33 restaurants in that area, do you have a preference of the type of restaurant?"
i want something with malaysian food.,"I am sorry I have no listings for malaysian food,another type?"
I actually just need an expensive place to dine in the Centre of town.,Kymmoy offers Asian Oriental food. Would you like to book a table there?
Yes please. Can you book that for 8 people on Saturday at 15:30?,Sure thing. I will work on getting this booked and be right back with you.
"Okay, thank you.",you are welcome
"If Saturday fails, try Monday and provide the reference number. Also looking for a guesthouse in the same area with internet. Provide starts and address please.",Your restaurant booking was successful. This is the reference number PQA4WKNF . It is for Saturday at 15:30 for 8 people.
I want to know where I can go in the town centre of Cambridge.,There are many places to go in the centre. Are you looking for an attraction or restaurant?
"An attraction of any type would be fine as long as it's in the centre, please.",I could recommend old schools. It is architecture and free to see. Would you like more information?
Yes tell me one of those recommendations.,Old Schools is an architectural attraction on Trinity Lane that has no entrance fee. Their phone number is 01223332320. Can I help you with anything else?
Can you provide me the full address including postal code? Thanks.,The address listed for Old Schools is simply Trinity Lane. And their postcode is cb21tt. Is there anything more I can do for you today?
"Yes, I would also like to find an expensive restaurant in the same area.",What kind of food would you like and what price range
Can you help me book a taxi please?,Yes what is your departure site?
