question,answer
i need a place to dine in the center thats expensive,"I have several options for you; do you prefer African, Asian, or British food?"
"Any sort of food would be fine, as long as it is a bit expensive. Could I get the phone number for your recommendation?",There is an Afrian place named Bedouin in the centre. How does that sound?
"Sounds good, could I get that phone number? Also, could you recommend me an expensive hotel?","Bedouin's phone is 01223367660. As far as hotels go, I recommend the University Arms Hotel in the center of town."
Hi there! Can you give me some info on Cityroomz?,"Cityroomz is located at Sleeperz Hotel, Station Road in the Centre area. It is a moderatley priced hotel with a 0 star rating. Would you like to book a room?"
Yes please. I need it for 7 people for 3 nights starting on tuesday.,How many days would you like to book it for?
I would like to book it for 3 nights beginning on Tuesday.,"Ok, Your rooms have been booked. Your reference number is CYJDAR7R . Is there anything else I can help you with today?"
"Yeah, I need a restaurant in the west and with expensive pricing.",There are 9 expensive restaurants in the west area. Do you prefer a certain type of food?
I am looking for a hotel named alyesbray lodge guest house.,"i have their info, what would you like to know?"
I would like to book a reservation for it. Can you help me with that?,"I sure can. First, I will need to know when you want your stay to begin and how many days you'll be staying. Also, how many people will be staying?"
We will be arriving on Sunday and will stay for 5 nights.,Can you tell me how many guests will be staying in the room?
There will be 8 guests.,Booking was successful. Your reference number is 4UFN3SWC . Will that be all for today?
that is it thank you.,You have a nice day then!
I am looking for a restaurant. I would like something cheap that has Chinese food.,I've heard good things about the lucky star. Need a reservation?
"Yes, could you make a reservation for 1 at 20:00 on Saturday?",Your booking was successful. The table will be reserved for 15 minutes. Reference number is : FDLFKTZM .
Please find me a train from cambridge to stansted airport,"Sure, I can do that but first I need a little more information. What day would you like to travel as well as departure and arrival times?"
Saturday leaving Cambridge anytime after 20:00 please,TR3128 will leave at 20:40 and arrive by 21:08. Do you need more information or would you like to book tickets?
Can you book me 6 tickets please?,You're all set. Total for tickets is 48.48 GBP payable at the station. Reference number is JD6SA21J .
I am also looking for The Riverside Brasserie.,riverside brasserie is a modern european restaurant in the centre. Its address is Doubletree by Hilton Cambridge Granta Place Mill Lane and postcode is cb21rt. Want to book it?
"Yes, I would like to book it and get a reference number.","Unfortunately, I cannot book it at this time."
I'm looking for an expensive restaurant in the centre if you could help me.,I sure can. There are lots of choices. Are you looking for a particular type of food?
"No, not really. I think I'd like to try something different. Could you suggest something?",There is a Korean restaurant called Little Seoul located at 108 Regent Street City Centre. Would you like their phone number?
"Yes, I would like both the phone number and the postcode please.","The phone number for little seoul is 01223308681, postcode cb21dp. Can I help you with anything else today?"
Can I also have the address please?,"The address for Little Seoul is 108 Regent Street, City Centre. Is there anything else I can help you with?"
"Hi, I'd like to book a train to stansted airport from cambridge. Can you help?",Absolutely. Where will you departing from?
"From Cambridge, which is why I asked the Cambridge TownInfo centre.",What day would you like to leave?
On Saturday. Is there a train that will arrive by 15:15?,There is! TR7213 leaves at 05:40 and arrive at 06:08 it is 10.10 pounds. Can I book that for you?
No need to book it. Thanks. But can you help me find a cheap restaurant in the south?,Sure - The Lucky Star serves Chinese food and Nandos serves Portuguese food. Do either of those sound good?
"Yeah, could you recommend a good gastropub?",Backstreet Bistro. It's expensive though. There is a moderately priced one called The Cow Pizza Kitchen and Bar if preferred.
I would like to book a table at the Backstreet Bistro for 5 people at 16:00 on Thursday.,No problem. That is booked for you and your reference number is 2VE84YC5 . Is there anything else I can book for you?
