question,answer
i need a train on tuesday out of kings lynn,What time of day would you like to leave?
I want to leave on Tuesday.,Do you have a time you'd like to leave?
I'd like to leave after 9:30.,Is that 9:30 AM or PM?
Looking for a train Tuesday leaving kings lynn after 9:30 to go to cambridge.,"I'm sorry, I'm not seeing any trains for that time. Would you like to try another time or a different route?"
"No, I'd like a train leaving after 09:30 departing from Kings Lynn and going to Cambridge. Please take another look?",There are no trains running at this time. Can I narrow your search in any way?
Please find me a train from cambridge to stansted airport,"Sure, I can do that but first I need a little more information. What day would you like to travel as well as departure and arrival times?"
Saturday leaving Cambridge anytime after 20:00 please,TR3128 will leave at 20:40 and arrive by 21:08. Do you need more information or would you like to book tickets?
Can you book me 6 tickets please?,You're all set. Total for tickets is 48.48 GBP payable at the station. Reference number is JD6SA21J .
I am also looking for The Riverside Brasserie.,riverside brasserie is a modern european restaurant in the centre. Its address is Doubletree by Hilton Cambridge Granta Place Mill Lane and postcode is cb21rt. Want to book it?
"Yes, I would like to book it and get a reference number.","Unfortunately, I cannot book it at this time."
I'm looking for an expensive restaurant in the centre if you could help me.,I sure can. There are lots of choices. Are you looking for a particular type of food?
"No, not really. I think I'd like to try something different. Could you suggest something?",There is a Korean restaurant called Little Seoul located at 108 Regent Street City Centre. Would you like their phone number?
"Yes, I would like both the phone number and the postcode please.","The phone number for little seoul is 01223308681, postcode cb21dp. Can I help you with anything else today?"
Can I also have the address please?,"The address for Little Seoul is 108 Regent Street, City Centre. Is there anything else I can help you with?"
"Hi, I'd like to book a train to stansted airport from cambridge. Can you help?",Absolutely. Where will you departing from?
"From Cambridge, which is why I asked the Cambridge TownInfo centre.",What day would you like to leave?
On Saturday. Is there a train that will arrive by 15:15?,There is! TR7213 leaves at 05:40 and arrive at 06:08 it is 10.10 pounds. Can I book that for you?
No need to book it. Thanks. But can you help me find a cheap restaurant in the south?,Sure - The Lucky Star serves Chinese food and Nandos serves Portuguese food. Do either of those sound good?
I want a restaurant in the north of Cambridge that is within a moderate price range.,"There are two restaurants fitting your description, one is Chinese cuisine and one is Indian cuisine. Do you have a preference?"
Please book a table for 4 at the Chinese place at 12:30 on Sunday and give me the reference number.,Okay you're all set for Sunday at 12:30. Your reference number is F5BTP63A . Can I help you find anything else?
I am also looking for a train that goes to broxbourne on monday.,There are 19 trains to broxbourne on Monday leaving every hour starting at 05:01. Is there a specific time you'd like?
I would like to arrive in broxbourne by 13:00.,The one arriving closest to 13:00 is TR5971 leaving cambridge at 11:01 and arrives by 12:01 in broxbourne. Would you like to book a ticket?
Find me a train that leaves on Sunday after 14:00 please,Certainly. Where are you headed?
I am leaving norwich going to cambridge on sunday and I need a train that leaves the station any time after 14:00,"TR5234 will leave at 14:16, would that work for you?"
Yes. Give me the ref number please.,In order to get a ref number I must complete a booking first. How many tickets would you like me to book for you?
I would like one train ticket please.,Your reservation for 1 ticket on the TR5234 train was successful. Your Reference number is : PGQKG62W . Is there anything else I can do for you?
I need to book a train to norwich that arrives by 16:15.,What day would you like to leave?
I want to leave on Wednesday from Cambridge.,The TR1144 leaves Cambridge for Norwich on Wednesday at 05:36. Would that be good for you?
What is the price and travel time?,The price is 17.60 pounds.
And what is the travel time?,It is 79 minutes.
I need a place to stay that has free wifi.,"I have 32 places that offer wifi, do you have a price range preference?"
could you provide details for something in the cheap price range?,There are 33 cheap hotels with wifi in Cambridge. Do you have a particular area you are interested in?
"No, I have no preference. Just pick one. That will be fine.",I recommend alexander bed and breakfast on 56 saint barnabas road would that due?
