question,answer
i need a place to dine in the center thats expensive,"I have several options for you; do you prefer African, Asian, or British food?"
"Any sort of food would be fine, as long as it is a bit expensive. Could I get the phone number for your recommendation?",There is an Afrian place named Bedouin in the centre. How does that sound?
"Sounds good, could I get that phone number? Also, could you recommend me an expensive hotel?","Bedouin's phone is 01223367660. As far as hotels go, I recommend the University Arms Hotel in the center of town."
"Guten Tag, I am staying overnight in Cambridge and need a place to sleep. I need free parking and internet.",I have 4 different options for you. I have two cheaper guesthouses and two expensive hotels. Do you have a preference?
"No, but I'd really like to be on the south end of the city. Do any of those fit the bill?",Sure. Does price matter? We can narrow it down and find exactly what you need.
No I don't care about the price. Which one do you recommend?,I would recommend aylesbray lodge guest house. Would you like me to book that for you?
Hi there! Can you give me some info on Cityroomz?,"Cityroomz is located at Sleeperz Hotel, Station Road in the Centre area. It is a moderatley priced hotel with a 0 star rating. Would you like to book a room?"
Yes please. I need it for 7 people for 3 nights starting on tuesday.,How many days would you like to book it for?
I would like to book it for 3 nights beginning on Tuesday.,"Ok, Your rooms have been booked. Your reference number is CYJDAR7R . Is there anything else I can help you with today?"
"Yeah, I need a restaurant in the west and with expensive pricing.",There are 9 expensive restaurants in the west area. Do you prefer a certain type of food?
I am looking for a hotel named alyesbray lodge guest house.,"i have their info, what would you like to know?"
I would like to book a reservation for it. Can you help me with that?,"I sure can. First, I will need to know when you want your stay to begin and how many days you'll be staying. Also, how many people will be staying?"
We will be arriving on Sunday and will stay for 5 nights.,Can you tell me how many guests will be staying in the room?
There will be 8 guests.,Booking was successful. Your reference number is 4UFN3SWC . Will that be all for today?
that is it thank you.,You have a nice day then!
I'm looking for a places to go and see during my upcoming trip to Cambridge.,What area of town would you like?
I would like to go to the south area please.,"On the south side, your options are the cinema, entertainment venues, museums, nightclubs, parks, and a theatre."
"That's a lot of choices, how about nightclubs? Can you get me a couple of phone numbers for good ones? I'm hoping to catch DJ Squalour from Ibiza!",The only nightclub in the south is called the place on 22 sidney street. Phone number is 01223324600. Can I help you with anything else?
"Yes, I would like an expensive hotel with free parking.","I have places that fit that description all over town, except in the north. If area is no concern, I recommend the Gonville in the center of town."
I need a place to stay that has free wifi.,"I have 32 places that offer wifi, do you have a price range preference?"
could you provide details for something in the cheap price range?,There are 33 cheap hotels with wifi in Cambridge. Do you have a particular area you are interested in?
"No, I have no preference. Just pick one. That will be fine.",I recommend alexander bed and breakfast on 56 saint barnabas road would that due?
"Perfect. I'll need a room for myself, for five nights on tuesday.","Perfect, you are all set for Alexander Bed and Breakfast on Tuesday, your reference number is 22DG5770 . Is there anything I can help with today?"
"Nope, that's it. Thanks!","I hope you not going to sit in your room by yourself for 5 days, are you sure that you dont want to know about a restaurant or attraction?"
"Actaully i will be on business so not out much but I do need a train, to cambridge leaving after 21:15",Ok great. What day will you be traveling?
"Hi, I'm traveling to Cambridge soon and am looking forward to seeing some local tourist attractions.",There are many to see! Are you going to be traveling within a certain area of town?
"Actually, yes. We are traveling into the northern part of town.","If you're heading north, I recommend taking a ride on the Riverboat Georgina."
That sounds nice but I would like to see about a guesthouse with free wifi.,There at 10 guest houses in the north offering free wifi. Are you looking for a particular price range?
"No, I don't really care about price. Just something in the north that includes wifi.","Acorn Guest house is located in the north , has free wifi and is moderately priced."
