question,answer
I'm looking for a places to go and see during my upcoming trip to Cambridge.,What area of town would you like?
I would like to go to the south area please.,"On the south side, your options are the cinema, entertainment venues, museums, nightclubs, parks, and a theatre."
"That's a lot of choices, how about nightclubs? Can you get me a couple of phone numbers for good ones? I'm hoping to catch DJ Squalour from Ibiza!",The only nightclub in the south is called the place on 22 sidney street. Phone number is 01223324600. Can I help you with anything else?
"Yes, I would like an expensive hotel with free parking.","I have places that fit that description all over town, except in the north. If area is no concern, I recommend the Gonville in the center of town."
"Yeah, could you recommend a good gastropub?",Backstreet Bistro. It's expensive though. There is a moderately priced one called The Cow Pizza Kitchen and Bar if preferred.
I would like to book a table at the Backstreet Bistro for 5 people at 16:00 on Thursday.,No problem. That is booked for you and your reference number is 2VE84YC5 . Is there anything else I can book for you?
"Yes, any suggestions of museums found in the east area of town?","Yes, Gallery at Twelve a High Street is excellent, and has free admission. Would you like more information?"
Where's a good place to eat crossover food in Cambridge?,There are no crossover locations in Cambridge.
How about British restaurants in the Centre instead?,I have 7 in the centre that serve british food. I have 4 in the moderate price range and 3 in the expensive. Did you have a preference?
I would prefer the british food.,I have cotto that serves moderate priced food. Would you like to book a table?
Yes please make a booking for 8 people at 12:30 on friday.,I have made your booking here is the information:Booking was successful. The table will be reserved for 15 minutes. Reference number is : VVSOH0TQ .
I need to book a train to norwich that arrives by 16:15.,What day would you like to leave?
I want to leave on Wednesday from Cambridge.,The TR1144 leaves Cambridge for Norwich on Wednesday at 05:36. Would that be good for you?
What is the price and travel time?,The price is 17.60 pounds.
And what is the travel time?,It is 79 minutes.
"Hi, I'm traveling to Cambridge soon and am looking forward to seeing some local tourist attractions.",There are many to see! Are you going to be traveling within a certain area of town?
"Actually, yes. We are traveling into the northern part of town.","If you're heading north, I recommend taking a ride on the Riverboat Georgina."
That sounds nice but I would like to see about a guesthouse with free wifi.,There at 10 guest houses in the north offering free wifi. Are you looking for a particular price range?
"No, I don't really care about price. Just something in the north that includes wifi.","Acorn Guest house is located in the north , has free wifi and is moderately priced."
Can you help me book a table at a chinese restaurant that's in the centre of town?,Great choice! I have 10 Chinese restaurants. What is your price range and we can narrow them down.
"I need some cheap Chop Suey, please.",How does the Charlie Chan sound? It is a cheap Chinese restaurant in the centre.
That sounds like they'll have some awesome Chop Suey. Please book me a table for 2 on Tuesday at 12:45.,"I am sorry but charlie chan is booked for that time. Do you want to pick an earlier or later time, or a different day?"
"Can we try the same day for 11:45 please? And can I have the reference number as well, thanks.",Great News! I was able to reserve your table for 2 at the 11:45 time. They will hold the table for 15 minutes. Reference number is : GFIL3UG5 .
Thank you. I am also looking for places to go in the same area as the restaurant.,There are dozens of attractions in the centre. What type of activities are you interested in? Museums? Architecture? Boat Rides? Something else?
"I am looking for some type of entertainment in the same area as the restaurant, please.",There are all kinds of entertainment choices. Did you have something in mind?
I need to take a train from bishops stortford to Cambridge. Ill need to leave after 9:00,There are 56 trains traveling from Bishops Stortford to Cambridge after 9:00 between Friday and Wednesday. What day to you want to travel?
I want to leave on Sunday.,How about TR4803 that leaves at 09:29?
That will work can you book that for me please?,Of course. How many tickets do you need?
"Actually, I don't need a booking. I just need to know when it arrives, thanks.",It arrives at 10:07.
I'm wanting a train that leaves on Friday and goes to Cambridge.,Sure thing. What's your departure site and around what time would you like to leave?
"I want to leave after 16:45, depart from Birmingham New Street.",The first train will leave at 17:40 and arrive at 20:23. Does that sound good?
This time works fine for me.,"You train has been booked, and the reference number is ZETNNFN0 . You will owe 75.09 GBP when you arrive."
"thanks, i'm also looking for some museums.",We have lots of wonderful museums. Is there a particular area of the town you would like to find one in?
I need to get a train going to Stevenage.,I will need some more information. The train is departing from cambridge correct? What day would you like to leave?
"Yes, departing from Cambridge. We'll be leaving on Tuesday, hopefully after 15:15.",How about TR5343? It leaves at 15:21. Your next choice is TR9883 which leaves at 17:21.
What is the price for TR5343?,It is 12.80 pounds.
I would like information on pools in the north.,jesus green outdoor pool and kings hedges learner pool are in that area. Could I get you info on one of those?
I am getting ready to go off to college. I thought while I was in town maybe I could visit one.,Great idea! There are 18 entries found! What area of town would you like to visit?
