question,answer
"Hello, I need to book a train at 07:15 leaving Cambridge going to the town center on Thursday for 7 people.",Sure I can help with that. There are no trains going to the town centre. Do you have another destination in mind?
Could you check for a bus?,I think we may need to recheck your intended arrival location. To where and from where do you wish to travel?
I am leaving from Cambridge at 14:30.,And where are you going?
I will be going to ely.,What time do you want to arrive by?
Doesn't matter. I just can't leave until 14:30,There is a 15:50 train that will arrive at 16:07. Does that sound good?
"I'm looking for a place called kambar, can you help me?",Sure! It is a nightclub located in the centre of Cambridge. The address is 1 Wheeler Street and admission is 5 pounds. Do you need more information?
Can I get the postcode and phone number for them please?,Certainly! Their phone number is 01223842725 and postcode is cb23qb. Can I help with anything else?
Thanks. I am also looking for a restaurant that serves lebanese food in the centre. Do you have any suggestions?,The ali baba is a very nice one. Should I book it for you ?
Yes can you please book that?,How many people and for what day?
Is the Ali Baba cheap?,It is in the moderate price range. Would you like a booking?
"Well, then I really want to stay with something cheap. How about indian food?","I recommend kohinoor, they are indian with a cheap price, would you like more info or a booking?"
How much does it cost to take the bus in Cambridge?,Where will you be traveling to?
I will be traveling to london.,The rate for a trip from Cambridge to london kings cross ranges from 18.88 pounds to 23.60 pounds depending on the day of travel.
I am also looking for a hotel in the west side of Cambridge. Can you help me?,There are a few to choose from. Do you prefer a hotel or a guesthouse?
I am looking for information in Cambridge,What type of information do you need help with?
"I'm looking for a hotel called, Archway House.",It is in the moderate price range at 52 gilbert road
Alright. I'd like a room on saturday for 4 nights. 2 people will be staying.,Booking was successful.Reference number is : S9V74O1G . can i be of any help again?
"I will also need a train for Saturday, leaving after 13:45.","Sure, I can help you with that. Where would you like to travel to?"
Going to Cambridge.,Where will you be departing from?
How much does it cost to take the bus in Cambridge?,Where will you be traveling to?
I will be traveling to london.,The rate for a trip from Cambridge to london kings cross ranges from 18.88 pounds to 23.60 pounds depending on the day of travel.
I am also looking for a hotel in the west side of Cambridge. Can you help me?,There are a few to choose from. Do you prefer a hotel or a guesthouse?
"I want a hotel on the west side that doesn't have to include internet. If no internet, what about free wifi?",Unfortunately there are no hotels meeting your criteria. Would you like me to look in another part of town?
Are you sure that there are no hotels on the west side of town? With or without internet?,There are four. Do you have a price range in mind?
"No price preference, whatever you recommend.",Finches bed and breakfast is a cheap guesthouse in the west with a 4 star rating. It has internet and parking. Would you like me to book this?
Can you help me find a train that leaves Cambridge after 9:45 PM? Thanks.,I can help with that. What is the destination and what day would you like to travel?
I am going to Bishops Storford on Wednesday. I actually need to leave after 21:45 though.,I do not have any trains that match your request.
That's disappointing. Can you recommend a taxi or bus service?,"I can set you up for bus TR9984, they leave at 23:29 and the price is 10.10 pounds, are you Ok with that?"
Okay. Can you also tell me about a museum to go to in the centre?,"Of course, there are actually eleven to choose from."
