question,answer
Could you find me a hospital in town?,"Yes, Addenbrookes Hospital is in your area, would you like me to book you an appointment?"
Do they have a transitional care department? I would also like to know the postcode and phone number.,Yes they have transitional care. Their post code is CB20QQ and the phone is 01223254668. Would you like me to book that for you?
"I'm hurt and I need to find a hospital. Oh, and one with an oncology department!","Hello, I'm sorry you are injured. Addenbrookes Hospital is located on Hills Rd. If you need to call the oncology department directly they may be reached at 01223217708."
Thank you. Can I have the postcode too please.,The postcode is CB20QQ
where is the Addenbrookes Hospital?,"It's located at Hills Rd, Cambridge, you can reach them via telephone at 01223245151."
"Thanks, do they have a children's oncology and haematology department?","Yes, they do. That department can be reached directly at 01223217231. Can I be of any further assistance today?"
i am looking for the Addenbrookes Hospital with neurology department,The number for the neurology department is 01223274680. Do you need the address?
Yes and the postcode,The postcode is CB20QQ.
I need the address also please.,"It is Hills Rd, Cambridge."
I need to find the Addenbrookes hospital please,Addenbrookes Hospital is located at Hills Rd in Cambridge. Would you like the number to a specific department?
"No, I would like its general phone number.",The general phone number is 01223245151.
I need to find a hospital.,The Addenbrookes Hospital on Hills Road in Cambridge offers many services.
Can I get the phone number and full mailing address of the cardiology and coronary care unit department at that hospital?,"their details are Addenbrookes Hospital Telephone : 01223245151 Address : Hills Rd, Cambridge Postcode : CB20QQ"
I am looking for the Addenbrookes Hospital,"Addenbrookes Hospital is located at Hills Rd, Cambridge. Is there a particular department you're looking for?"
Can I get the phone number for the emergency department?,I have it listed as 01223217118.
"Thank you, could you please provide me the address for the Addenbrookes Hospital.","The address is Hills Rd, Cambridge."
Am hospital in town that should have the children's oncology and haematology department.,department phone book (optional) children's oncology and haematology 01223217231
What is the name of the hospital and the address please?,"The Addenbrookes Hospital is located at Hills Rd, Cambridge."
i am looking for the Addenbrookes Hospital,"Addenbrookes Hospital is located on Hills Rd, Cambridge. Is there a department you're needing the phone number for?"
I need the emergency department. Could I also get the postcode?,"Sure, the emergency department number is 01223217118."
I've been injured and need to find a hospital nearby.,"The Addenbrookes Hospital is located at Hills Rd., Cambridge. Are you looking for a specific department?"
"No, I just need the general phone number, please.","01223245151, is the number. Do you need anything else?"
I am looking for the Addenbrookes Hospital. the hospital should have the infectious diseases department,"Addenbrookes Hospital is located in Hills Rd, Cambridge, postcode CB20QQ. They have an infectious diseases department and their number is 01223217314. Would you like to book an appointment with them?"
Thank you very much. I will not need to book an appointment.,Do you need any further assistance?
I am trying to find info for the Addenbrookes Hospital gastroenterology department.,The phone number is 01223274284. Anything else?
Could you give me the address and postcode as well?,"Yes, the address is HIlls Rd., Cambridge, and the postcode is CB20QQ."
Can you tell me how to get to Addenbrookes Hospital?,I could just call an ambulance
"I need the address of the hospital and the phone number of the transplant high dependency unit department, please.",The address for the hospital is Hills Rd in Cambridge. The phone number for the Transplant High Dependency Unit is 01223216811.
I need to find a hospital nearby that has a hepatobillary and gastrointestinal surgery referral center,"Addenbrookes Hospital located at Hills Rd, Cambridge has that department. Would you like the phone number to that direct department?"
"No, I just need the postcode.",Certainly. The postcode is CB20QQ. Anything else I can help you with today?
"Hi, I am looking for a hospital that offers medicine for the elderly",Addensbrookes Hospital offers medicine for the elderly. Would you like more information about it?
"Yes, please. I need the postcode, phone number and address.",department phone book (optional) acute medicine for the elderly 01223217261 medicine for the elderly 01223216988 medicine for the elderly 01223274744 medicine for the elderly 01223217484 medicine for the elderly 01223217498
"Can I get the address and postcode, please?","Sure, the address is Hills Rd, Cambridge and the post code is CB20QQ. Is there anything else I can help you with?"
I need a close hospital with an acute medicine for the elderly unit.,Contact them at 01223217261
"Thank you, will you please give me the postcode?","Certainly, their postcode is CB20QQ."
I actually need the address and phone number for the Addenbrookes Hospital. Can you help me?,"Sure. The hospital is located at Hills Rd, Cambridge, postcode CB20QQ. You can call them at 01223245151. Is there anything else I can help you with today?"
Does it have a neonatal unit?,"It does, the phone number for the neonatal unit is 01223217678. Anything else I can help with?"
Please connect me to a hospital with an emergency department.,"You need Addenbrookes Hospital, located at Hills Rd, Cambridge, phone 01223217118."
"Thanks, what is the postcode?",The Postcode is CB20QQ. Do you need any other assistance?
I am looking for the Addenbrookes Hospital.,"The Addenbrookes Hospital is located in Hills Rd, Cambridge. Post code CB20QQ. The phone number is 01223245151"
Thank you for your help,You are more than welcome!
"I need a hospital with an antenatal department, please find one for me.",Call them at 01223217671
I am looking for the Addenbrookes Hospital please.,"The hospital is located at Hills Rd, Cambridge Hills Rd, CB20QQ and their phone number is 0122324515. Is there anything else I can help you with?"
I need a hospital please! I've been hurt!,"Oh, I am sorry to hear that. You may want to call the Addenbrookes Hospital acute medical assessment unit at 01223348314."
